Unique ID = 	Higgins00010023Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Motek Coral Gables	Business Website = 	https://motekcafe.com/coral-gables/	Business Type = 	Restaurant	Offering = 	"A family-owned Eastern Mediterranean offering Israeli, Lebanon, Morocco and Yemen dishes. The menu boasts an All Day Brunch section with standouts like the Shakshuka, Hummus Shakshuka, and Jerusalem Grilled Cheese; a variety of Hummus options made daily in small batches to preserve freshness; extensive Cold & Hot Mezzes offerings"								
Unique ID = 	Higgins00010024Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Benihana	Business Website = 	https://www.benihana.com/locations/coralgables-fl-gb/	Business Type = 	Restaurant	Offering = 	"A dining experience unlike any other where guests are seated at communal tables in groups, and the personal chef will perform the ancient art of Teppanyaki"								
Unique ID = 	Higgins00010025Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Místico	Business Website = 	https://misticomiami.com	Business Type = 	"Bar
Restaurant"	Offering = 	A charming piano bar and restaurant located in the heart of Coral Gables serving global and international dishes.								
Unique ID = 	Higgins00010026Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Talavera Cocina Mexicana	Business Website = 	https://talaveracocinamexicana.com	Business Type = 	Restaurant	Offering = 	"A delicious blend of old and new world Mexico, Talavera features a variety of popular Mexican dishes varying from recipes that originated in traditional street markets to others that have been refined in the classic restaurants of Mexico City"								
Unique ID = 	Higgins00010027Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Sospiro Natural Wine Bar	Business Website = 	https://sospirowinebar.com/?gad_source=1&gclid=CjwKCAiA8sauBhB3EiwAruTRJl7Rq1FyMf30nS_kJiQOWL9xIlOr5uotqwC_G5jhTfM1D0W2OMGjzBoCQPQQAvD_BwE	Business Type = 	"Bar
Restaurant"	Offering = 	"A natural wine selection from small growers, matched with a Mediterranean inspired menu. Cozy backyard garden. Small plates, charcuterie and oysters, pasta and risotto"								
Unique ID = 	Higgins00010028Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Salumeria 104	Business Website = 	https://www.salumeria104.com/location/salumeria-104-coral-gables/	Business Type = 	Restaurant	Offering = 	Northern Italy’s rustic charm and Miami’s vibrancy meets genuine fare: a no-fuss dining spot that guests can enjoy often with a core set of delicious dishes complemented by daily specials.								
Unique ID = 	Higgins00010029Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Kao Sushi & Grill	Business Website = 	https://www.kaosushigrill.com	Business Type = 	Restaurant	Offering = 	"We offer to our customers premium quality sushi, combined with an innovative and dynamic cuisine, in a relaxing environment through a professional level of service for fine dining."								
Unique ID = 	Higgins00010030Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Bellmónt Spanish Restaurant	Business Website = 	https://www.bellmontrestaurant.com	Business Type = 	Restaurant	Offering = 	A Spanish restaurant proud to be the only restaurant in Miami roasting suckling pigs “cochinillo a la leña estilo Segoviano” in a traditional wood-fired oven brought from Spain								
Unique ID = 	Higgins00010031Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Copper 29	Business Website = 	https://www.copper29bar.com	Business Type = 	Bar	Offering = 	"Located in the heart of Coral Gables and inspired by the golden age of cocktailery, Copper 29 embodies the obsession for the perfect cocktail and small plates."								
Unique ID = 	Higgins00010032Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	John Martin's Irish Pub & Restaurant	Business Website = 	https://johnmartinsmiami.com	Business Type = 	"Bar
Restaurant"	Offering = 	"Nestled on Miracle Mile in Miami, JohnMartin’s is a quintessential Irish pub/restaurant and watering hole founded in 1989 by John Clarke and Martin Lynch"								
Unique ID = 	Higgins00010033Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Sexy Fish	Business Website = 	https://sexyfishmiami.com	Business Type = 	Restaurant	Offering = 	"Chef Director Björn Weissgerber serves a diverse menu inspired by the Oceans of Asia, with a particular focus on Japan – sushi, sashimi, tiradito, tempura and robata"								
Unique ID = 	Higgins00010034Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	KOKO	Business Website = 	https://kokobybakan.com	Business Type = 	Restaurant	Offering = 	"Indoor and outdoor restaurant & bar transports guests to Mexico with its sophisticated and artistic design, cacti garden, and outdoor bar & terrace."								
Unique ID = 	Higgins00010035Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Erba Miami	Business Website = 	https://erbamiami.com	Business Type = 	Restaurant	Offering = 	"Erba is an Italian-inspired restaurant that embraces the vibrant spirit of Miami, showcasing a local adaptation rooted in a hospitality-forward mindset. It's Chef Niven Patel's homage to his time in Florence, emphasizing the appreciation of local culture, colors, and energy."								
Unique ID = 	Higgins00010036Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Amal Miami	Business Website = 	https://amalmiami.com	Business Type = 	Restaurant	Offering = 	"Amal is where the Lebanese spirit of joie de vivre comes to life. Where cuisine, sharing, enjoyment and simply living unite."								
Unique ID = 	Higgins00010037Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Bayshore Club	Business Website = 	https://www.bayshoreclubmiami.com	Business Type = 	Restaurant	Offering = 	"Inspired by the free-feeling love of travel, Bayshore Club Miami realizes vacation as a state of-mind, where guests will be swept away by unassumingly delicious contemporary American food, a bar list to please any aficionado and an atmosphere that creates escape"								
Unique ID = 	Higgins00010038Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Giselle Miami	Business Website = 	https://www.gisellemiami.com	Business Type = 	Restaurant	Offering = 	"Giselle Miami, serves Asian, Mediterranean & French-inspired cuisine, elevated cocktail programming, and exquisite design with supreme hospitality-driven service."								
Unique ID = 	Higgins00010039Public	City = 	Miami	Area = 	Coral Gables	Business Name = 	Level 6 Rooftop	Business Website = 	https://level6miami.com	Business Type = 	Restaurant	Offering = 	"With unmatched views of the beautiful Biscayne Bay, Level 6 is a rooftop oasis that encourages you to tap into your senses and connect with those around you. From a relaxed sundowner in the afternoon or cocktails and spanish inspired dinner into the evening, the warm and welcoming atmosphere and elevated service at Level 6 offers a beautiful escape in the heart of Coconut Grove."								
